M,beta,communication_times,accuracy_round_1000,time_consumption,energy_consumption,cost_consumption,reward_consumption,converged_round,elapsed_seconds
9,0.1,1940.0,0.9468,2.3257266765903797,1.1178447068759783,3.443571383466344,-3.443571383466344,388,127.15162650775164
9,0.2,3318.0,0.9609,2.3577565963690867,1.3363370892993507,3.694093685668399,-3.694093685668399,482,146.0099988509901
9,0.3,3287.0,0.9588,2.372213967570774,1.4349581754357408,3.8071721430064804,-3.8071721430064804,425,137.00575852580369
9,0.4,2457.0,0.9538,2.3729144571811,1.4397365715378887,3.812651028718979,-3.812651028718979,316,105.13902059895918
9,0.5,3123.0,0.9589,2.3800816582176774,1.48862769710452,3.86870935532217,-3.86870935532217,381,125.43516006879508
9,0.6,3241.0,0.9598,2.381648490742128,1.499315859094654,3.880964349836752,-3.880964349836752,391,129.0585213219747
9,0.7,3544.0,0.962,2.3845258746810716,1.5189439592057514,3.903469833886788,-3.903469833886788,419,136.78959374921396
9,0.8,3232.0,0.9594,2.385707060055639,1.5270014257356694,3.9127084857912813,-3.9127084857912813,379,124.00116149615496
9,0.9,3401.0,0.961,2.3882288262502436,1.5442036762433426,3.932432502493555,-3.932432502493555,392,128.51295704068616
16,0.1,2713.0,0.9255,2.3862282791140452,1.863196926174645,4.249425205288702,-4.249425205288702,317,108.75292344484478
16,0.2,6174.0,0.9473,2.462178457181108,2.381291740835603,4.8434701980167105,-4.8434701980167105,474,159.20744325825945
16,0.3,5707.0,0.9463,2.470652250050095,2.439095794198877,4.909748044248964,-4.909748044248964,422,141.42871514800936
16,0.4,6626.0,0.9494,2.481954605212802,2.5161949103863392,4.998149515599129,-4.998149515599129,467,155.18932405579835
16,0.5,5940.0,0.9451,2.483491804795509,2.526680931001063,5.010172735796559,-5.010172735796559,416,139.43285191897303
16,0.6,5527.0,0.9436,2.48416862477691,2.5312978645191473,5.015466489296042,-5.015466489296042,386,128.86796772433445
16,0.7,5122.0,0.9426,2.486723678473623,2.548727186018267,5.035450864491873,-5.035450864491873,354,119.39432365074754
16,0.8,5954.0,0.9477,2.4919140314290904,2.5841332248311746,5.0760472562602486,-5.0760472562602486,403,136.88453533919528
16,0.9,6754.0,0.9522,2.5017042765903867,2.650917469205774,5.152621745796148,-5.152621745796148,440,148.0934097962454
25,0.1,10903.0,0.9395,2.535435242568145,3.3086935533932786,5.844128795961452,-5.844128795961452,629,218.9544395757839
25,0.2,8065.0,0.9319,2.559612195970254,3.473616855888634,6.033229051858896,-6.033229051858896,430,148.71122163441032
25,0.3,8489.0,0.9335,2.5795293933353247,3.6094821947204974,6.189011588055827,-6.189011588055827,426,151.64978915080428
25,0.4,8731.0,0.9323,2.5908319344520456,3.6865825793949805,6.27741451384703,-6.27741451384703,424,151.23412553407252
25,0.5,10924.0,0.9393,2.613679469093759,3.84243724000165,6.4561167090954115,-6.4561167090954115,498,174.52743411669508
25,0.6,10753.0,0.9373,2.6169060894847878,3.86444765967434,6.48135374915913,-6.48135374915913,486,171.72552208183333
25,0.7,8784.0,0.9306,2.6094822914052225,3.8138061550986064,6.423288446503831,-6.423288446503831,405,144.50460477080196
25,0.8,9036.0,0.935,2.6219443507012437,3.898816203337927,6.520760554039171,-6.520760554039171,403,140.75245910370722
25,0.9,9266.0,0.9353,2.6385585688463005,4.012150240066583,6.650708808912884,-6.650708808912884,396,140.92763216793537
36,0.1,16316.0,0.9333,2.6661972532775278,4.723407771541834,7.38960502481928,-7.38960502481928,652,236.3551348806359
36,0.2,14458.0,0.9277,2.7080604053610053,5.008977635521124,7.71703804088212,-7.71703804088212,526,190.54590911604464
36,0.3,12852.0,0.9236,2.7167880099237314,5.068513067608874,7.785301077532632,-7.785301077532632,459,171.66921982634813
36,0.4,15954.0,0.9297,2.751561825366304,5.305722958688567,8.057284784054842,-8.057284784054842,531,195.99200755311176
36,0.5,14278.0,0.926,2.751795605713207,5.3073176934026405,8.059113299115863,-8.059113299115863,475,175.09140279889107
36,0.6,9991.0,0.9192,2.7345320719392148,5.189554344340791,7.9240864162800735,-7.9240864162800735,344,123.8340660999529
36,0.7,14155.0,0.9271,2.773175172165616,5.453158595960038,8.226333768125679,-8.226333768125679,452,160.6292968550697
36,0.8,11379.0,0.9193,2.767888667507724,5.417096657454648,8.184985324962447,-8.184985324962447,367,135.93149805581197
36,0.9,14723.0,0.9294,2.817511180430639,5.755597070358263,8.57310825078893,-8.57310825078893,434,161.85045042913407
49,0.1,17074.0,0.9183,2.79578701565986,6.225165487309687,9.020952502969536,-9.020952502969536,523,218.40330649819225
49,0.2,19653.0,0.9241,2.8641338805704946,6.6913942337026455,9.555528114273132,-9.555528114273132,536,223.8221061201766
49,0.3,24670.0,0.9276,2.9283457804155337,7.129416279152887,10.057762059568354,-10.057762059568354,610,253.97974377684295
49,0.4,19258.0,0.9216,2.9130693076650034,7.025207684521665,9.938276992186662,-9.938276992186662,487,206.75899665709585
49,0.5,18729.0,0.9209,2.931478948463137,7.1507892128343835,10.082268161297518,-10.082268161297518,461,195.36304901819676
49,0.6,20195.0,0.9232,2.9501531228713884,7.278175259519443,10.228328382390815,-10.228328382390815,484,202.93216002173722
49,0.7,17613.0,0.9181,2.9554340306078983,7.314199018575994,10.269633049183904,-10.269633049183904,419,178.48182741599157
49,0.8,20874.0,0.9218,2.9910593559420535,7.557217491948593,10.548276847890627,-10.548276847890627,473,199.87284338707104
49,0.9,18627.0,0.9197,3.0569728071745903,8.006846685310515,11.063819492485118,-11.063819492485118,388,165.63804098591208
